"","subject","age","awar","prof","bil.dom","time","age.acq","prime","target","item","target.sta","prime.type","prime.len","target.len","prime.freq","target.freq","target.lan","response","order","RT","amb","listeng","listspa","issue","dis","accuracy","itemcode"
"3","1",25,"no",55,24,33,12,"camión","AXE","conAXE","word","control",6,3,4.8,3.85,"eng","1",127,0.854412913,1,"a","c","ae","no","yes",8
"8","1",25,"no",55,24,33,12,"seda","CANDLE","conCANDLE","word","control",4,6,3.41,3.79,"eng","1",5,0.67444849,0,"a","c","clean","no","yes",17
"10","1",25,"no",55,24,33,12,"gusano","CHERRY","conCHERRY","word","control",6,6,3.42,4.23,"eng","1",4,0.656781495,0,"a","c","clean","no","yes",27
"11","1",25,"no",55,24,33,12,"sobrino","COTTON","conCOTTON","word","control",7,6,3.47,4.1,"eng","1",23,0.745171845,0,"a","c","clean","no","yes",33
"13","1",25,"no",55,24,33,12,"vela","DUVET","conDUVET","word","control",4,5,3.42,3.39,"eng","0",118,0.541547477,0,"a","c","clean","no","no",39
"14","1",25,"no",55,24,33,12,"regla","FABRIC","conFABRIC","word","control",5,6,3.5,3.97,"eng","1",72,0.624794781,0,"a","c","clean","no","yes",45
"16","1",25,"no",55,24,33,12,"cuchara","GRANDPA","conGRANDPA","word","control",7,7,3.85,4.21,"eng","1",91,1.504701495,1,"a","c","com","no","yes",52
"17","1",25,"no",55,24,33,12,"edredón","INK","conINK","word","control",7,3,3.13,3.89,"eng","0",43,0.726403654,0,"a","c","clean","no","no",59
"18","1",25,"no",55,24,33,12,"algodón","KNIFE","conKNIFE","word","control",7,5,3.94,4.49,"eng","1",41,0.64423883,0,"a","c","clean","no","yes",61
"20","1",25,"no",55,24,33,12,"cuchillo","LORRY","conLORRY","word","control",8,5,4.62,4.07,"eng","0",96,0.7762869,1,"a","c","ae","no","no",64
"21","1",25,"no",55,24,33,12,"tijeras","NEPHEW","conNEPHEW","word","control",7,6,3.39,3.81,"eng","1",95,0.790038347,0,"a","c","clean","no","yes",69
"23","1",25,"no",55,24,33,12,"abuelo","SCISSORS","conSCISSORS","word","control",6,8,4.9,3.92,"eng","1",105,0.671559095,1,"a","c","com","no","yes",79
"24","1",25,"no",55,24,33,12,"hacha","SILK","conSILK","word","control",5,4,3.4,4,"eng","1",79,0.657490194,0,"a","c","clean","no","yes",82
